Details of Training:-----------------------
dataset: HAR
local train epochs:5
round num:500
batch size:256
lr:0.05
isAllocateMat:False
isEMA:False
-------------------------------------------
AVG+selection
PID:1946928
PPID:3888362
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: fedavgdataset: CharacterTrajectoriesdescription: AVG+selectionfederated:  dirichlet_alpha: 0.01  numClient: 6  numEpoch: 5  numRound: 500logPath: ./result/model:  name: ''  params:    batch_size: 256    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    wd: 0
dataset: HARround:94 server aggregation  testACC:0.9263657957244655 trainACC:1.0 avg_loss:nan
dataset: HARround:95 server aggregation  testACC:0.9253478113335596 trainACC:1.0 avg_loss:nan
dataset: HARround:96 server aggregation  testACC:0.9250084832032576 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:97 server aggregation  testACC:0.9256871394638616 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:98 server aggregation  testACC:0.9256871394638616 trainACC:1.0 avg_loss:nan
dataset: HARround:99 server aggregation  testACC:0.9256871394638616 trainACC:1.0 avg_loss:nan
dataset: HARround:100 server aggregation  testACC:0.9263657957244655 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:101 server aggregation  testACC:0.9267051238547676 trainACC:1.0 avg_loss:nan
dataset: HARround:102 server aggregation  testACC:0.9267051238547676 trainACC:1.0 avg_loss:nan
dataset: HARround:103 server aggregation  testACC:0.9253478113335596 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:104 server aggregation  testACC:0.9263657957244655 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:105 server aggregation  testACC:0.9253478113335596 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:106 server aggregation  testACC:0.9277231082456736 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:107 server aggregation  testACC:0.9267051238547676 trainACC:1.0 avg_loss:nan
dataset: HARround:108 server aggregation  testACC:0.9273837801153716 trainACC:1.0 avg_loss:nan
dataset: HARround:109 server aggregation  testACC:0.9280624363759755 trainACC:1.0 avg_loss:nan
dataset: HARround:110 server aggregation  testACC:0.9284017645062775 trainACC:1.0 avg_loss:nan
dataset: HARround:111 server aggregation  testACC:0.9284017645062775 trainACC:1.0 avg_loss:nan
dataset: HARround:112 server aggregation  testACC:0.9297590770274856 trainACC:1.0 avg_loss:nan
dataset: HARround:113 server aggregation  testACC:0.9256871394638616 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:114 server aggregation  testACC:0.9277231082456736 trainACC:1.0 avg_loss:nan
dataset: HARround:115 server aggregation  testACC:0.9280624363759755 trainACC:1.0 avg_loss:nan
dataset: HARround:116 server aggregation  testACC:0.9280624363759755 trainACC:1.0 avg_loss:nan
dataset: HARround:117 server aggregation  testACC:0.9290804207668816 trainACC:1.0 avg_loss:nan
dataset: HARround:118 server aggregation  testACC:0.9287410926365796 trainACC:1.0 avg_loss:nan
dataset: HARround:119 server aggregation  testACC:0.9284017645062775 trainACC:1.0 avg_loss:nan
dataset: HARround:120 server aggregation  testACC:0.9260264675941635 trainACC:1.0 avg_loss:nan
dataset: HARround:121 server aggregation  testACC:0.9287410926365796 trainACC:1.0 avg_loss:nan
dataset: HARround:122 server aggregation  testACC:0.9267051238547676 trainACC:1.0 avg_loss:nan
dataset: HARround:123 server aggregation  testACC:0.9280624363759755 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:124 server aggregation  testACC:0.9284017645062775 trainACC:1.0 avg_loss:nan
dataset: HARround:125 server aggregation  testACC:0.9290804207668816 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:126 server aggregation  testACC:0.9267051238547676 trainACC:1.0 avg_loss:nan
dataset: HARround:127 server aggregation  testACC:0.9263657957244655 trainACC:1.0 avg_loss:nan
dataset: HARround:128 server aggregation  testACC:0.9267051238547676 trainACC:1.0 avg_loss:nan
dataset: HARround:129 server aggregation  testACC:0.9246691550729556 trainACC:1.0 avg_loss:nan
dataset: HARround:130 server aggregation  testACC:0.9260264675941635 trainACC:1.0 avg_loss:nan
dataset: HARround:131 server aggregation  testACC:0.9270444519850696 trainACC:0.9991498044550247 avg_loss:nan
dataset: HARround:132 server aggregation  testACC:0.9216152019002375 trainACC:1.0 avg_loss:nan
dataset: HARround:133 server aggregation  testACC:0.9189005768578216 trainACC:1.0 avg_loss:nan
dataset: HARround:134 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:135 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:136 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:137 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:138 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:139 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:140 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:141 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:142 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:143 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:144 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:145 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
dataset: HARround:146 server aggregation  testACC:0.18221920597217509 trainACC:0.1916340758374426 avg_loss:nan
