Details of Training:-----------------------
dataset: SpokenArabicDigits
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_scaffold_dir0.05
PID: 1681576
PPID: 1681571
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: scaffolddataset: CharacterTrajectoriesdescription: har_scaffold_dir0.05federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falselogPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.0    wd: 0scaffold:  global_lr: 1.0
dataset: SpokenArabicDigitsround:138 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:139 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:140 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:141 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:142 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:143 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:144 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:145 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:146 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:147 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:148 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:149 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:150 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:151 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:152 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:153 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:154 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:155 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:156 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:157 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:158 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:159 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:160 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:161 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:162 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:163 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:164 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:165 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:166 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:167 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:168 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:169 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:170 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:171 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:172 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:173 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:174 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:175 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:176 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:177 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:178 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:179 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:180 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:181 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:182 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:183 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:184 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:185 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:186 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
